,v0,v1,v2,v3
,-906034,-465367,-799694,-840161
,-901692,-462564,-846604,-851744
,-901845,-523758,-859619,-862918
,-903443,-520486,-912611,-912381
,-868313,-516409,-867009,-864214
,-866106,-509159,-915460,-912068
,-904670,-466458,-928990,-924984
,-910612,-458950,-980268,-975395
,-914399,-449746,-930850,-926716
,-917975,-407489,-979439,-975565
,-919345,-398385,-995629,-992306
,-914427,-456662,-1.04553e+06,-1.04248e+06
,-909520,-445215,-990699,-989204
,-906254,-403195,-1.03392e+06,-1.03454e+06
,-903742,-392706,-1.04086e+06,-1.04423e+06
,-904914,-383238,-1.04724e+06,-1.05184e+06
,-905264,-343861,-1.05374e+06,-1.06008e+06
,-867375,-340275,-1.06238e+06,-1.10233e+06
,-861714,-333766,-1.06342e+06,-1.10509e+06
,-863690,-330724,-1.06447e+06,-1.10824e+06
,-865053,-328982,-1.09954e+06,-1.11127e+06
,-864528,-331203,-1.10152e+06,-1.11409e+06
,-861638,-334274,-1.10512e+06,-1.05191e+06
,-853720,-341551,-1.10719e+06,-1.05502e+06
,-913894,-380609,-1.10751e+06,-1.05554e+06
,-906949,-390118,-1.11153e+06,-1.0578e+06
,-868338,-398562,-1.11047e+06,-1.05676e+06
,-903148,-442879,-1.11152e+06,-1.05722e+06
,-868101,-456394,-1.0509e+06,-1.05988e+06
,-867592,-402916,-1.0511e+06,-1.05936e+06
,-901603,-451329,-1.05596e+06,-1.06221e+06
,-868149,-465200,-1.05953e+06,-1.06365e+06
,-904955,-510748,-1.0588e+06,-1.06215e+06
,-916964,-468029,-1.05806e+06,-1.05808e+06
,-932835,-512765,-1.06034e+06,-1.0588e+06
,-977682,-522228,-1.06015e+06,-1.05679e+06
,-920025,-528189,-1.05726e+06,-1.05219e+06
,-925975,-532727,-1.05296e+06,-1.11226e+06
,-930241,-533208,-1.11053e+06,-1.1028e+06
,-966892,-529093,-1.09879e+06,-1.057e+06
,-973801,-522986,-1.05018e+06,-1.04117e+06
,-978230,-514764,-1.03602e+06,-992831
,-977400,-471330,-985333,-1.03982e+06
,-978476,-459306,-998415,-986915
,-980279,-509147,-974641,-931280
,-982314,-461590,-919570,-975298
,-984794,-445237,-927798,-918757
,-986586,-395981,-903134,-862174
,-987610,-445184,-910845,-903654
,-989488,-396841,-854053,-847607
,-990934,-382962,-798006,-793292
,-991704,-338373,-841929,-839411
,-991209,-327968,-788222,-787455
,-990965,-385800,-736783,-770268
,-990211,-380432,-784418,-722139
,-991469,-378063,-737077,-774120
,-990497,-377640,-723992,-729587
,-994034,-379847,-711208,-719072
,-993490,-387535,-707133,-714725
,-992008,-329758,-668393,-709125
,-990422,-341250,-665075,-706539
,-991754,-386841,-660498,-670684
,-990506,-403002,-663853,-705323
,-990918,-451869,-663572,-705305
,-991202,-404937,-668689,-709178
,-992450,-457448,-705315,-712457
,-991239,-512549,-712684,-719088
,-991710,-467516,-717297,-723190
,-990963,-522226,-726977,-729870
,-991724,-576266,-735765,-737061
,-984382,-532752,-779482,-778275
,-1.03452e+06,-537038,-732924,-733727
,-1.04835e+06,-603586,-729091,-723205
,-997905,-590064,-772403,-731335
,-994562,-603882,-777410,-734221
,-990006,-649683,-782865,-770578
,-993267,-659979,-785350,-772550
,-995565,-668699,-789308,-775197
,-998704,-709667,-792583,-778294
,-1.03222e+06,-715031,-795617,-780323
,-1.03424e+06,-719584,-797741,-782397
,-1.03375e+06,-656152,-799449,-784137
,-1.03423e+06,-656648,-800239,-785681
,-1.03404e+06,-720192,-799786,-786672
,-1.03554e+06,-717284,-799493,-787476
,-1.03548e+06,-713155,-798739,-788951
,-1.0363e+06,-706576,-796381,-788954
,-1.03633e+06,-666602,-794326,-789822
,-1.0368e+06,-658994,-791859,-791504
,-1.03547e+06,-650038,-789195,-792535
,-1.03558e+06,-605965,-785138,-792547
,-1.03652e+06,-594900,-781792,-793347
,-1.03756e+06,-649513,-777499,-794854
,-1.03706e+06,-605473,-774139,-796899
,-1.03558e+06,-594203,-770833,-799275
,-993326,-586254,-773419,-839477
,-978722,-575240,-770306,-842981
,-968231,-532207,-735462,-847072
,-921847,-589551,-736547,-787907
,-974826,-580809,-736537,-793344
,-967438,-539150,-770269,-798977
,-932648,-532203,-772298,-838365
,-932574,-529150,-779724,-849428
,-926001,-530404,-791766,-864767
,-920557,-529471,-802557,-910900
,-914911,-534216,-786460,-863791
,-910805,-536784,-798768,-911156
,-909547,-575027,-848093,-929037
,-908552,-582196,-866323,-980484
,-907297,-526386,-853970,-968142
,-906237,-535336,-907010,-987080
,-908045,-578277,-926928,-1.03782e+06
,-913191,-588239,-979677,-989418
,-914715,-602154,-971724,-1.04268e+06
,-915682,-646871,-990448,-1.05782e+06
,-919074,-591925,-1.04145e+06,-1.10393e+06
,-925186,-603395,-991964,-1.04933e+06
,-928568,-650241,-1.04505e+06,-1.06289e+06
,-929828,-660273,-1.05774e+06,-1.10129e+06
,-933083,-705986,-1.10512e+06,-1.10828e+06
,-929000,-655630,-1.05477e+06,-1.11511e+06
,-923153,-667685,-1.06464e+06,-1.11616e+06
,-922359,-710457,-1.10162e+06,-1.11341e+06
,-922873,-724273,-1.109e+06,-1.11237e+06
,-918726,-771597,-1.11468e+06,-1.11e+06
,-918039,-784595,-1.11614e+06,-1.10387e+06
,-915929,-736824,-1.12104e+06,-1.10129e+06
,-913909,-783073,-1.11923e+06,-1.06005e+06
,-913395,-800770,-1.11978e+06,-1.05447e+06
,-911166,-850997,-1.11929e+06,-1.11313e+06
,-911076,-837681,-1.11845e+06,-1.10695e+06
,-910101,-857871,-1.11698e+06,-1.10154e+06
,-910867,-912088,-1.11562e+06,-1.06345e+06
,-911138,-867855,-1.11357e+06,-1.05857e+06
,-912142,-924190,-1.11211e+06,-1.05568e+06
,-914118,-978705,-1.10853e+06,-1.05063e+06
,-917505,-970973,-1.10719e+06,-1.04909e+06
,-923143,-992200,-1.1005e+06,-1.04316e+06
,-980206,-1.04295e+06,-1.05928e+06,-1.03474e+06
,-971819,-1.03348e+06,-1.05705e+06,-1.0337e+06
,-989202,-1.05554e+06,-1.0509e+06,-997915
,-1.03293e+06,-1.11101e+06,-1.11203e+06,-997149
,-1.0386e+06,-1.06389e+06,-1.10341e+06,-992021
,-1.04396e+06,-1.11384e+06,-1.06016e+06,-985920
,-983773,-1.12792e+06,-1.04556e+06,-1.04248e+06
,-987697,-1.17297e+06,-999378,-1.033e+06
,-990014,-1.11638e+06,-1.04759e+06,-987666
,-993510,-1.12429e+06,-995830,-973857
,-995302,-1.13018e+06,-975890,-926477
,-996911,-1.16688e+06,-922058,-975852
,-998094,-1.16919e+06,-933657,-926725
,-1.03223e+06,-1.16944e+06,-910886,-908814
,-1.03448e+06,-1.16961e+06,-856520,-859406
,-1.03531e+06,-1.16734e+06,-901365,-907542
,-1.03549e+06,-1.16502e+06,-848382,-858412
,-1.03453e+06,-1.12901e+06,-795393,-842301
,-1.0347e+06,-1.12403e+06,-842274,-793607
,-1.03404e+06,-1.11921e+06,-792782,-845510
,-1.03295e+06,-1.17868e+06,-775988,-798703
,-1.03246e+06,-1.17227e+06,-728631,-786193
,-998652,-1.16633e+06,-782542,-775985
,-997079,-1.12563e+06,-770859,-733485
,-997836,-1.11713e+06,-727238,-724285
,-997688,-1.10878e+06,-721862,-784349
,-994285,-1.10001e+06,-717858,-780568
,-990270,-1.05678e+06,-713448,-776670
,-987913,-1.11151e+06,-710695,-773375
,-985556,-1.10061e+06,-710709,-772830
,-983601,-1.05522e+06,-710607,-771890
,-983332,-1.04248e+06,-712935,-772845
,-1.04827e+06,-996827,-714250,-773693
,-983274,-983343,-717866,-775933
,-1.04832e+06,-1.03625e+06,-726329,-781261
,-1.0463e+06,-989164,-731632,-783864
,-1.04806e+06,-974341,-736230,-721622
,-1.04622e+06,-928486,-779048,-728020
,-1.044e+06,-978406,-781846,-730312
,-1.0437e+06,-931268,-723232,-734225
,-1.04094e+06,-918263,-730081,-772292
,-1.03547e+06,-904669,-771827,-778045
,-997666,-856039,-775223,-779814
,-998960,-907538,-776942,-781108
,-1.03397e+06,-861467,-781843,-783570
,-1.03678e+06,-849714,-785431,-785937
,-1.03882e+06,-838945,-788537,-787974
,-1.03992e+06,-796876,-791846,-790223
,-1.03992e+06,-789547,-794646,-792304
,-1.03887e+06,-848868,-795945,-793613
,-1.03828e+06,-843012,-796473,-793604
,-1.03907e+06,-839661,-796951,-793543
,-1.03808e+06,-839719,-797425,-794865
,-1.03711e+06,-839135,-796181,-793115
,-1.03702e+06,-841950,-795163,-792102
,-1.03598e+06,-847620,-793819,-791829
,-1.03447e+06,-789726,-791853,-790997
,-1.0337e+06,-798161,-789054,-788505
,-1.03394e+06,-842303,-785882,-786967
,-1.03367e+06,-855812,-782612,-784656
,-1.03376e+06,-905512,-779988,-784105
,-996575,-858309,-777481,-783149
,-991808,-912883,-773847,-782307
,-980674,-969472,-774901,-784327
,-966916,-928732,-772298,-784431
,-982054,-991971,-776914,-790062
,-932295,-985871,-771040,-787932
,-924613,-1.04904e+06,-770272,-789453
,-918990,-1.04962e+06,-771617,-793124
,-916438,-1.11798e+06,-775943,-798955
,-916472,-1.12282e+06,-781532,-838886
,-913630,-1.23139e+06,-794166,-786729
,-903422,-1.24082e+06,-837163,-798262
,-867369,-1.24907e+06,-844035,-839691
,-865734,-1.3263e+06,-792557,-853518
,-865007,-1.3696e+06,-837118,-866273
,-866833,-1.38118e+06,-851928,-913395
,-903445,-1.45688e+06,-866548,-861477
,-908843,-1.50114e+06,-852523,-910333
,-910545,-1.50967e+06,-902149,-924128
,-916800,-1.58105e+06,-914719,-967622
,-920382,-1.58693e+06,-931322,-980192
,-923359,-1.65404e+06,-975593,-923187
,-919076,-1.68935e+06,-929247,-968709
,-915663,-1.71577e+06,-967178,-970495
,-914903,-1.71054e+06,-981719,-977440
,-909111,-1.76562e+06,-988943,-979429
,-908751,-1.78404e+06,-994754,-979665
,-904204,-1.83344e+06,-1.03427e+06,-979696
,-902973,-1.7782e+06,-1.03574e+06,-975610
,-868148,-1.82266e+06,-1.04369e+06,-976155
,-866759,-1.82864e+06,-1.04651e+06,-972580
,-861468,-1.83583e+06,-989404,-974064
,-854985,-1.83649e+06,-990178,-969975
,-852978,-1.83555e+06,-994508,-968248
