,v0,v1,v2,v3
,-985662,-457768,-843518,-784887
,-983088,-452058,-836863,-789010
,-1.04754e+06,-452367,-799783,-796677
,-1.04706e+06,-455939,-795159,-837137
,-1.04654e+06,-399815,-790507,-846333
,-1.04528e+06,-445443,-790250,-792519
,-1.04163e+06,-461602,-789475,-836299
,-1.04039e+06,-513516,-851478,-846614
,-1.0383e+06,-470819,-850424,-858113
,-1.03884e+06,-527875,-845855,-866557
,-1.03863e+06,-589374,-847137,-911373
,-1.03753e+06,-586717,-842265,-853994
,-1.03776e+06,-651718,-843002,-863755
,-1.03499e+06,-652521,-843570,-905194
,-997913,-720374,-841455,-912094
,-995818,-723251,-839464,-917191
,-995893,-726281,-836338,-919841
,-1.03224e+06,-795142,-800988,-921629
,-1.03677e+06,-800006,-799950,-923606
,-1.03734e+06,-902692,-798974,-924110
,-1.03802e+06,-905442,-797485,-922149
,-1.0384e+06,-974042,-796723,-919557
,-1.03829e+06,-975062,-795445,-915257
,-1.03809e+06,-1.04086e+06,-794874,-909765
,-1.03737e+06,-1.03981e+06,-793383,-902596
,-1.03759e+06,-1.10213e+06,-792560,-860870
,-1.037e+06,-1.09849e+06,-792095,-852287
,-1.03627e+06,-1.12462e+06,-791825,-907271
,-1.03554e+06,-1.11643e+06,-791797,-863538
,-1.03507e+06,-1.17245e+06,-791862,-852494
,-1.03475e+06,-1.19276e+06,-792377,-840511
,-1.03446e+06,-1.24492e+06,-793868,-796967
,-1.03327e+06,-1.19601e+06,-795078,-851146
,-1.03272e+06,-1.24395e+06,-798445,-841473
,-995309,-1.25672e+06,-800815,-798984
,-990527,-1.30094e+06,-836915,-790539
,-976835,-1.24676e+06,-846656,-787717
,-929513,-1.25209e+06,-849420,-780314
,-979503,-1.25951e+06,-795136,-779560
,-929991,-1.29506e+06,-801324,-776914
,-920024,-1.29665e+06,-844090,-777527
,-913351,-1.29593e+06,-851988,-778771
,-912616,-1.2971e+06,-865501,-785414
,-906502,-1.29744e+06,-917444,-797399
,-903938,-1.26085e+06,-864263,-839386
,-902191,-1.25953e+06,-917202,-790755
,-868143,-1.25538e+06,-969156,-840480
,-866275,-1.25163e+06,-926725,-861943
,-864986,-1.30976e+06,-979229,-913947
,-863699,-1.30354e+06,-1.0363e+06,-905232
,-866768,-1.25982e+06,-987423,-924882
,-909350,-1.24831e+06,-1.04095e+06,-980183
,-916737,-1.23626e+06,-1.06261e+06,-971475
,-920314,-1.19062e+06,-1.04963e+06,-994348
,-919061,-1.24079e+06,-1.10084e+06,-984119
,-919563,-1.19015e+06,-1.11415e+06,-1.03576e+06
,-918475,-1.1725e+06,-1.16559e+06,-1.05729e+06
,-913148,-1.11875e+06,-1.17423e+06,-1.1047e+06
,-915920,-1.12738e+06,-1.11569e+06,-1.05114e+06
,-909350,-1.10716e+06,-1.16348e+06,-1.10203e+06
,-904722,-1.11278e+06,-1.12944e+06,-1.10748e+06
,-904391,-1.05575e+06,-1.16868e+06,-1.1177e+06
,-865854,-997396,-1.17192e+06,-1.12482e+06
,-863954,-1.03832e+06,-1.17219e+06,-1.13028e+06
,-862492,-979727,-1.17065e+06,-1.16607e+06
,-861931,-922646,-1.16988e+06,-1.16939e+06
,-859869,-932092,-1.16861e+06,-1.17198e+06
,-856302,-909885,-1.16733e+06,-1.175e+06
,-916286,-856329,-1.16607e+06,-1.17703e+06
,-913402,-866864,-1.12814e+06,-1.17629e+06
,-911589,-848424,-1.12438e+06,-1.17706e+06
,-909335,-798245,-1.12055e+06,-1.17734e+06
,-908259,-847580,-1.11588e+06,-1.1766e+06
,-907733,-799507,-1.1771e+06,-1.17684e+06
,-907065,-786973,-1.17372e+06,-1.1773e+06
,-906959,-773887,-1.16859e+06,-1.17635e+06
,-911048,-730173,-1.13004e+06,-1.17532e+06
,-915462,-721613,-1.12481e+06,-1.17428e+06
,-867584,-774350,-1.11538e+06,-1.16789e+06
,-925188,-734737,-1.10928e+06,-1.16606e+06
,-973571,-729580,-1.10465e+06,-1.16477e+06
,-920269,-724443,-1.06472e+06,-1.12796e+06
,-928023,-720185,-1.05755e+06,-1.12338e+06
,-967155,-715207,-1.11307e+06,-1.11513e+06
,-970763,-710614,-1.10138e+06,-1.1052e+06
,-974339,-671490,-1.05398e+06,-1.05881e+06
,-977943,-667193,-1.0389e+06,-1.10945e+06
,-980941,-661793,-987368,-1.05831e+06
,-984303,-657419,-1.03602e+06,-1.04012e+06
,-985112,-718623,-984827,-986648
,-987417,-715486,-932083,-997405
,-987684,-714271,-978975,-975569
,-987940,-713237,-926693,-919360
,-987456,-713507,-908330,-929342
,-987637,-713960,-856062,-904917
,-989662,-716525,-903894,-914694
,-991248,-720866,-854798,-860133
,-992243,-662573,-841678,-840472
,-992009,-669983,-796223,-788467
,-992494,-711736,-851254,-836315
,-992471,-721355,-841693,-786989
,-992743,-732976,-802279,-773391
,-991723,-776647,-795663,-727021
,-992317,-724780,-793285,-782795
,-989452,-771555,-791847,-774661
,-989179,-784104,-790579,-733488
,-986837,-799464,-793627,-729633
,-988116,-843523,-790540,-722631
,-991511,-792804,-797750,-723693
,-988639,-841425,-838201,-726771
,-985144,-854044,-842744,-727338
,-984856,-866607,-848646,-730675
,-984556,-911395,-789730,-735467
,-985039,-857368,-797226,-774611
,-984339,-867600,-837591,-781792
,-987955,-910280,-843019,-723489
,-987931,-921830,-855567,-737045
,-985598,-929524,-862991,-779730
,-985147,-970471,-903185,-790776
,-985538,-975678,-908089,-800040
,-986640,-983036,-916247,-846074
,-985294,-923386,-857144,-792022
,-987429,-925898,-860648,-800970
,-992042,-930024,-864767,-844296
,-995066,-966661,-902092,-855748
,-996385,-970734,-904901,-866079
,-997603,-972293,-906480,-906514
,-1.03219e+06,-974543,-906533,-914632
,-1.03324e+06,-976409,-906512,-856368
,-1.03352e+06,-977608,-905667,-862436
,-1.0342e+06,-978380,-903480,-867598
,-1.03526e+06,-977955,-867646,-903987
,-1.03626e+06,-977639,-863961,-907055
,-1.03703e+06,-976328,-858646,-908232
,-1.03779e+06,-974788,-853482,-908561
,-1.03856e+06,-971523,-913446,-907529
,-1.03887e+06,-969188,-907530,-906283
,-1.03805e+06,-932886,-902183,-903952
,-1.03726e+06,-928297,-862487,-867550
,-1.03706e+06,-923374,-856797,-863201
,-1.03224e+06,-919276,-853233,-860724
,-991685,-979912,-847897,-856888
,-976929,-975935,-849926,-857104
,-928492,-969714,-846314,-853046
,-983032,-929083,-842812,-913922
,-974893,-922602,-842294,-911572
,-969470,-915924,-844015,-910021
,-933885,-911054,-848086,-910889
,-931824,-906550,-854805,-913891
,-928520,-903970,-866297,-854554
,-924652,-901591,-910639,-862149
,-921810,-866839,-858330,-903623
,-918552,-867086,-906766,-914975
,-915749,-866008,-923180,-926923
,-913698,-866523,-974834,-973274
,-912144,-866545,-926435,-920887
,-914424,-867092,-976910,-967673
,-914458,-903898,-1.03481e+06,-987119
,-911351,-905254,-987194,-1.0352e+06
,-917709,-904497,-1.03353e+06,-1.04682e+06
,-923918,-908852,-1.05371e+06,-998916
,-927547,-910071,-1.10282e+06,-1.04548e+06
,-930099,-914153,-1.05933e+06,-1.06318e+06
,-931034,-914959,-1.10516e+06,-1.10793e+06
,-932403,-917513,-1.1198e+06,-1.05578e+06
,-928479,-920804,-1.16893e+06,-1.10211e+06
,-925445,-921382,-1.17816e+06,-1.11124e+06
,-922123,-923345,-1.12404e+06,-1.12101e+06
,-921115,-921405,-1.12869e+06,-1.12586e+06
,-922156,-923177,-1.16994e+06,-1.16713e+06
,-921842,-923124,-1.175e+06,-1.17201e+06
,-922399,-925209,-1.18147e+06,-1.17887e+06
,-919052,-928239,-1.18816e+06,-1.11968e+06
,-915950,-927943,-1.19013e+06,-1.12259e+06
,-914157,-928540,-1.19269e+06,-1.12585e+06
,-913353,-928827,-1.19427e+06,-1.12814e+06
,-911561,-931356,-1.22927e+06,-1.16454e+06
,-910815,-932308,-1.22954e+06,-1.16577e+06
,-911308,-967726,-1.23157e+06,-1.1691e+06
