,v0,v1,v2,v3
,-1.04422e+06,846387,-792799,-1.24975e+06
,-1.04223e+06,845792,-797988,-1.23986e+06
,-1.03916e+06,839999,-771854,-1.19473e+06
,-999182,775889,-779205,-1.24389e+06
,-989691,666142,-721367,-1.19193e+06
,-974047,594699,-665630,-1.17012e+06
,-924102,514341,-709655,-1.17654e+06
,-972284,458511,-656376,-1.11594e+06
,-926745,330040,-640710,-1.05398e+06
,-916006,262137,-593381,-1.0557e+06
,-913454,121332,-647194,-990207
,-912321,7110,-645183,-995369
,-906031,-80348,-646188,-968388
,-901613,-201508,-650801,-973843
,-862982,-328660,-597248,-918470
,-858630,-517120,-640710,-859114
,-854274,-647140,-661291,-905961
,-916746,-772361,-713265,-851665
,-855278,-864576,-705272,-800487
,-858582,-987588,-731638,-849372
,-866584,-1.10689e+06,-727254,-801255
,-904139,-1.19111e+06,-793839,-790218
,-903654,-1.36863e+06,-795925,-780326
,-868057,-1.441e+06,-860887,-736805
,-866794,-1.57159e+06,-859595,-726309
,-865065,-1.6312e+06,-923946,-783671
,-865492,-1.71569e+06,-921851,-775954
,-862254,-1.82782e+06,-989481,-773316
,-857369,-1.89642e+06,-983265,-734724
,-853461,-1.96039e+06,-1.04659e+06,-734957
,-913644,-1.97886e+06,-1.10281e+06,-731841
,-912922,-2.02546e+06,-1.06365e+06,-734923
,-909630,-2.09541e+06,-1.1195e+06,-770755
,-911670,-2.09329e+06,-1.17526e+06,-778226
,-904417,-2.15086e+06,-1.16792e+06,-725226
,-867779,-2.09769e+06,-1.18551e+06,-736060
,-863458,-2.10611e+06,-1.24006e+06,-786472
,-858080,-2.1041e+06,-1.19111e+06,-837098
,-854243,-2.16219e+06,-1.24161e+06,-792865
,-851448,-2.1133e+06,-1.25716e+06,-848703
,-849951,-2.09257e+06,-1.30507e+06,-909035
,-848327,-2.09643e+06,-1.25266e+06,-904905
,-847354,-2.02927e+06,-1.29823e+06,-968417
,-848087,-2.01902e+06,-1.30873e+06,-967154
,-850233,-1.90772e+06,-1.31916e+06,-1.03451e+06
,-851148,-1.88744e+06,-1.3271e+06,-1.03573e+06
,-864484,-1.82273e+06,-1.32563e+06,-1.06244e+06
,-861920,-1.7579e+06,-1.32606e+06,-1.06091e+06
,-915988,-1.69006e+06,-1.36246e+06,-1.12813e+06
,-931803,-1.58279e+06,-1.36044e+06,-1.12585e+06
,-973291,-1.57076e+06,-1.32346e+06,-1.18738e+06
,-981001,-1.45361e+06,-1.31127e+06,-1.24231e+06
,-922561,-1.36624e+06,-1.29616e+06,-1.1958e+06
,-928218,-1.30658e+06,-1.30643e+06,-1.24038e+06
,-932897,-1.1797e+06,-1.24999e+06,-1.24978e+06
,-968720,-1.04986e+06,-1.18707e+06,-1.25232e+06
,-972483,-983549,-1.1863e+06,-1.2498e+06
,-974644,-851969,-1.11646e+06,-1.24308e+06
,-976381,-786158,-1.10973e+06,-1.23211e+06
,-977211,-655819,-1.10002e+06,-1.18371e+06
,-979741,-593465,-990930,-1.23055e+06
,-980277,-469540,-979968,-1.17652e+06
,-981709,-444976,-933630,-1.11741e+06
,-983810,-328192,-857308,-1.1241e+06
,-984275,-248522,-846615,-1.06238e+06
,-984560,-144343,-838149,-1.09949e+06
,-985388,-75502,-731895,-1.03472e+06
,-986584,-16109,-727769,-1.03755e+06
,-986124,4619,-658692,-972834
,-988171,50726,-659186,-974352
,-986665,121910,-598031,-912081
,-987079,121883,-603338,-913622
,-984337,144611,-583369,-854559
,-982277,195339,-529395,-792630
,-981998,138793,-580309,-799715
,-981193,143623,-534227,-774178
,-982018,138288,-526580,-785209
,-979478,193836,-521524,-731351
,-980775,146181,-518376,-710890
,-981543,122827,-520751,-662221
,-982549,128513,-524280,-711673
,-984011,61484,-531939,-666879
,-984076,55859,-575037,-656423
,-984816,-51744,-585743,-647129
,-986334,-65502,-534570,-641041
,-986087,-115660,-583424,-604197
,-985842,-135651,-599035,-601102
,-985108,-257043,-652049,-602313
,-982769,-313659,-604429,-602354
,-985794,-338235,-653839,-602668
,-987945,-399870,-707366,-640733
,-989382,-460600,-660793,-645889
,-991540,-522522,-712709,-652596
,-993495,-584437,-730577,-659491
,-996149,-646959,-781261,-668212
,-997153,-709436,-733489,-711387
,-998423,-770327,-781808,-720873
,-998933,-799230,-798154,-667178
,-999112,-858590,-843833,-710593
,-998935,-981563,-791242,-721968
,-999378,-1.03754e+06,-801990,-732631
,-1.03274e+06,-1.05956e+06,-845276,-776674
,-1.03342e+06,-1.11152e+06,-853519,-721655
,-1.03477e+06,-1.12925e+06,-860186,-731939
,-1.03574e+06,-1.24338e+06,-867300,-775688
,-1.03525e+06,-1.25669e+06,-905428,-785696
,-1.03547e+06,-1.29841e+06,-907581,-794383
,-1.03575e+06,-1.37212e+06,-911642,-836646
,-1.03421e+06,-1.37594e+06,-912374,-843743
,-994842,-1.38166e+06,-853744,-790982
,-978938,-1.4466e+06,-854831,-798408
,-968691,-1.44279e+06,-854518,-837619
,-920560,-1.50506e+06,-858848,-847653
,-974380,-1.55979e+06,-857327,-851987
,-966680,-1.51679e+06,-860355,-860126
,-928815,-1.56718e+06,-861128,-865563
,-927428,-1.58697e+06,-867561,-909330
,-922121,-1.63658e+06,-908599,-856050
,-917754,-1.58493e+06,-917699,-868114
,-912353,-1.62912e+06,-928199,-913722
,-910318,-1.63786e+06,-972737,-927001
,-908282,-1.64502e+06,-920525,-975108
,-906021,-1.64884e+06,-967438,-924651
,-903917,-1.64993e+06,-982732,-972772
,-902970,-1.64654e+06,-997410,-986843
,-904962,-1.64093e+06,-1.04428e+06,-1.03323e+06
,-910373,-1.63078e+06,-992225,-1.04627e+06
,-915427,-1.58643e+06,-1.04172e+06,-995629
,-919538,-1.63409e+06,-1.05271e+06,-1.03831e+06
,-927971,-1.58028e+06,-1.06424e+06,-1.04881e+06
,-929502,-1.55778e+06,-1.11075e+06,-1.0603e+06
,-931089,-1.56136e+06,-1.05321e+06,-1.09956e+06
,-930555,-1.49839e+06,-1.06342e+06,-1.10874e+06
,-928754,-1.49378e+06,-1.09899e+06,-1.11153e+06
,-928747,-1.38907e+06,-1.10162e+06,-1.11388e+06
,-926933,-1.37978e+06,-1.10332e+06,-1.05006e+06
,-922942,-1.36834e+06,-1.10436e+06,-1.05166e+06
